filename,width,height,class,xmin,ymin,xmax,ymax
1584913757_Camera0_visible.png,1936,1216,yellow,967,758,1055,853
1584913757_Camera0_visible.png,1936,1216,yellow,383,708,436,766
1584914040_Camera1_visible.png,1936,1216,blue,549,774,621,869
1584914040_Camera1_visible.png,1936,1216,yellow,1898,727,1935,796
1584914040_Camera1_visible.png,1936,1216,blue,1044,711,1095,767
1584914040_Camera1_visible.png,1936,1216,blue,1395,684,1431,725
1584914040_Camera1_visible.png,1936,1216,blue,1715,669,1743,703
1584914040_Camera1_visible.png,1936,1216,blue,1208,647,1220,665
1584913583_Camera1_visible.png,1936,1216,blue,238,695,306,777
1584913583_Camera1_visible.png,1936,1216,yellow,1338,709,1407,788
1584913583_Camera1_visible.png,1936,1216,yellow,1879,948,1935,1045
1584913583_Camera1_visible.png,1936,1216,blue,476,652,515,703
1584913583_Camera1_visible.png,1936,1216,yellow,1180,662,1225,712
1584913583_Camera1_visible.png,1936,1216,yellow,1518,659,1553,705
1584913583_Camera1_visible.png,1936,1216,blue,0,634,34,680
1584913583_Camera1_visible.png,1936,1216,blue,581,631,610,669
1584913583_Camera1_visible.png,1936,1216,yellow,1106,639,1133,675
1584913583_Camera1_visible.png,1936,1216,blue,1837,644,1865,678
1584913583_Camera1_visible.png,1936,1216,blue,202,620,231,654
1584913583_Camera1_visible.png,1936,1216,yellow,1360,638,1385,672
1584913583_Camera1_visible.png,1936,1216,blue,642,619,665,648
1584913583_Camera1_visible.png,1936,1216,yellow,1065,625,1088,654
1584913583_Camera1_visible.png,1936,1216,blue,1664,631,1688,658
1584913583_Camera1_visible.png,1936,1216,blue,334,611,357,638
1584913583_Camera1_visible.png,1936,1216,yellow,1278,626,1298,652
1584913583_Camera1_visible.png,1936,1216,blue,688,611,706,636
1584913583_Camera1_visible.png,1936,1216,yellow,1031,617,1051,640
1584913583_Camera1_visible.png,1936,1216,blue,1549,621,1566,644
1584913583_Camera1_visible.png,1936,1216,blue,1775,624,1792,647
1584913583_Camera1_visible.png,1936,1216,yellow,99,601,117,623
1584913583_Camera1_visible.png,1936,1216,blue,430,605,447,628
1584913583_Camera1_visible.png,1936,1216,yellow,1224,617,1242,640
1584913583_Camera1_visible.png,1936,1216,blue,723,606,737,626
1584913583_Camera1_visible.png,1936,1216,blue,500,601,514,620
1584913583_Camera1_visible.png,1936,1216,blue,1460,615,1475,634
1584913583_Camera1_visible.png,1936,1216,blue,1655,617,1669,636
1584913583_Camera1_visible.png,1936,1216,yellow,223,597,237,616
1584913583_Camera1_visible.png,1936,1216,yellow,1017,611,1031,630
1584913583_Camera1_visible.png,1936,1216,yellow,1182,611,1195,630
